"","Unicode","Description"
"534","U+1F45B","PURSE"
"535","U+1F45C","HANDBAG"
"536","U+1F45D","POUCH"
"537","U+1F45E","MANS SHOE"
"538","U+1F45F","ATHLETIC SHOE"
"539","U+1F460","HIGH-HEELED SHOE"
"540","U+1F461","WOMANS SANDAL"
"541","U+1F462","WOMANS BOOTS"
"542","U+1F463","FOOTPRINTS"
"543","U+1F464","BUST IN SILHOUETTE"
"544","U+1F466","BOY"
"545","U+1F467","GIRL"
"546","U+1F468","MAN"
"547","U+1F469","WOMAN"
"548","U+1F46A","FAMILY"
"549","U+1F46B","MAN AND WOMAN HOLDING HANDS"
"550","U+1F46E","POLICE OFFICER"
"551","U+1F46F","WOMAN WITH BUNNY EARS"
"552","U+1F470","BRIDE WITH VEIL"
"553","U+1F471","PERSON WITH BLOND HAIR"
"554","U+1F472","MAN WITH GUA PI MAO"
"555","U+1F473","MAN WITH TURBAN"
"556","U+1F474","OLDER MAN"
"557","U+1F475","OLDER WOMAN"
"558","U+1F476","BABY"
"559","U+1F477","CONSTRUCTION WORKER"
"560","U+1F478","PRINCESS"
"561","U+1F479","JAPANESE OGRE"
"562","U+1F47A","JAPANESE GOBLIN"
"563","U+1F47B","GHOST"
"564","U+1F47C","BABY ANGEL"
"565","U+1F47D","EXTRATERRESTRIAL ALIEN"
"566","U+1F47E","ALIEN MONSTER"
"567","U+1F47F","IMP"
"568","U+1F480","SKULL"
"569","U+1F481","INFORMATION DESK PERSON"
"570","U+1F482","GUARDSMAN"
"571","U+1F483","DANCER"
"572","U+1F484","LIPSTICK"
"573","U+1F485","NAIL POLISH"
"574","U+1F486","FACE MASSAGE"
"575","U+1F487","HAIRCUT"
"576","U+1F488","BARBER POLE"
"577","U+1F489","SYRINGE"
"578","U+1F48A","PILL"
"579","U+1F48B","KISS MARK"
"580","U+1F48C","LOVE LETTER"
"581","U+1F48D","RING"
"582","U+1F48E","GEM STONE"
"583","U+1F48F","KISS"
"584","U+1F490","BOUQUET"
"585","U+1F491","COUPLE WITH HEART"
"586","U+1F492","WEDDING"
"587","U+1F493","BEATING HEART"
"588","U+1F494","BROKEN HEART"
"589","U+1F495","TWO HEARTS"
"590","U+1F496","SPARKLING HEART"
